"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"d:\Projetos\studyPDF\client\eslint.config.js", "JavaScript", 0, 0, 0, -21, 0, 0, 0, 0, 0, -2, -23
"d:\Projetos\studyPDF\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -17, 0, -3, -20
"d:\Projetos\studyPDF\client\package-lock.json", "JSON", 0, 0, -3835, 0, 0, 0, 0, 0, 0, -1, -3836
"d:\Projetos\studyPDF\client\package.json", "JSON", 0, 0, -35, 0, 0, 0, 0, 0, 0, -1, -36
"d:\Projetos\studyPDF\client\public\favicon-study.svg", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"d:\Projetos\studyPDF\client\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, -24, 0, 0, -1, -25
"d:\Projetos\studyPDF\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, -164, 0, 0, 0, -14, -178
"d:\Projetos\studyPDF\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, -11, 0, 0, 0, 0, -3, -14
"d:\Projetos\studyPDF\client\src\app\components\ChatArea.tsx", "TypeScript JSX", 0, 0, 0, 0, -94, 0, 0, 0, 0, -8, -102
"d:\Projetos\studyPDF\client\src\app\components\MessageInput.tsx", "TypeScript JSX", 0, 0, 0, 0, -54, 0, 0, 0, 0, -8, -62
"d:\Projetos\studyPDF\client\src\app\components\QuickActions.tsx", "TypeScript JSX", 0, 0, 0, 0, -47, 0, 0, 0, 0, -5, -52
"d:\Projetos\studyPDF\client\src\app\components\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, -95, 0, 0, 0, 0, -11, -106
"d:\Projetos\studyPDF\client\src\app\components\UploadArea.tsx", "TypeScript JSX", 0, 0, 0, 0, -80, 0, 0, 0, 0, -14, -94
"d:\Projetos\studyPDF\client\src\app\components\ui\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, -26, 0, 0, 0, 0, -5, -31
"d:\Projetos\studyPDF\client\src\context\ChatContext.ts", "TypeScript", 0, -20, 0, 0, 0, 0, 0, 0, 0, -4, -24
"d:\Projetos\studyPDF\client\src\context\ChatProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, -59, 0, 0, 0, 0, -12, -71
"d:\Projetos\studyPDF\client\src\features\pdf\extractPdfData.ts", "TypeScript", 0, -47, 0, 0, 0, 0, 0, 0, 0, -10, -57
"d:\Projetos\studyPDF\client\src\hooks\useChat.ts", "TypeScript", 0, -44, 0, 0, 0, 0, 0, 0, 0, -8, -52
"d:\Projetos\studyPDF\client\src\hooks\useUploadFile.ts", "TypeScript", 0, -49, 0, 0, 0, 0, 0, 0, 0, -11, -60
"d:\Projetos\studyPDF\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
